,0,1,2
436,ISL1,TUBB3 (TuJ1),412
437,ISL1,pavyn,19
438,ISL1,Nestin,354
439,ISL1,NKX6.1,412
440,ISL1,s100b,406
441,ISL1,trachrsn,15
442,NKX6.1,TUBB3 (TuJ1),416
443,NKX6.1,pavyn,19
444,NKX6.1,Nestin,349
445,NKX6.1,s100b,406
446,NKX6.1,trachrsn,15
447,TUBB3 (TuJ1),pavyn,19
448,TUBB3 (TuJ1),Nestin,349
449,TUBB3 (TuJ1),s100b,406
450,TUBB3 (TuJ1),trachrsn,15
451,s100b,pavyn,18
452,s100b,Nestin,353
453,s100b,trachrsn,14
454,Nestin,pavyn,15
455,Nestin,trachrsn,14
456,trachrsn,pavyn,13
